name,price,one_hr,one_day,one_week,market_cap,volume,circ_supply,week_chart,custom_index
ApeCoin,$1.90,0.47,-0.78,-8.49,"$700,016,539","$52,479,719","368,593,750",https://coinmarketcap.com/currencies/apecoin-ape/?period=7d,-31279686.4
Curve DAO Token,$0.7831,-0.28,-1.17,-0.83,"$679,914,012","$25,835,596","868,317,809",https://coinmarketcap.com/currencies/curve-dao-token/?period=7d,-72063.42
eCash,$0.00003305,-0.19,-0.1,6.07,"$642,946,449","$60,524,424","19,441,198,423,293",https://coinmarketcap.com/currencies/ecash/?period=7d,1180842.65
Neo,$9.06,0.21,-0.71,0.24,"$640,280,296","$30,920,807","70,538,831",https://coinmarketcap.com/currencies/neo/?period=7d,169610.67
Injective,$7.98,-0.29,-0.6,-3.29,"$639,343,306","$38,320,186","80,005,555",https://coinmarketcap.com/currencies/injective/?period=7d,-2635889.07
Pax Dollar,$0.9932,0.11,-0.4,-0.17,"$612,955,622","$1,342,729","616,553,331",https://coinmarketcap.com/currencies/paxos-standard/?period=7d,-10491.59
Conflux,$0.1982,0.32,9.97,3.6,"$609,449,627","$124,965,609","3,069,880,122",https://coinmarketcap.com/currencies/conflux-network/?period=7d,1106972.08
Kava,$0.972,0.55,-3.73,3.38,"$605,608,202","$70,687,876","624,819,739",https://coinmarketcap.com/currencies/kava/?period=7d,2105921.53
Flow,$0.584,0.23,-2.56,-4.51,"$605,133,635","$25,570,263","1,036,200,000",https://coinmarketcap.com/currencies/flow/?period=7d,-4673206.67
KuCoin Token,$6.12,0.39,-1.56,-5.11,"$592,690,311","$1,574,834","96,794,195",https://coinmarketcap.com/currencies/kucoin-token/?period=7d,-4948770.41
Pepe,$0.000001505,0.1,0.66,-7.77,"$589,676,044","$95,751,491","391,790,000,000,000",https://coinmarketcap.com/currencies/pepe/?period=7d,-3044373.99
Gemini Dollar,$0.9869,-0.01,-0.44,-0.62,"$557,053,744","$1,064,638","564,428,013",https://coinmarketcap.com/currencies/gemini-dollar/?period=7d,-34995.78
Synthetix,$2.03,0.27,0.12,-3.63,"$540,925,498","$18,238,838","266,903,985",https://coinmarketcap.com/currencies/synthetix/?period=7d,-9672707.18
Chiliz,$0.07621,0.16,-1.19,-1.05,"$536,488,774","$24,655,763","7,039,695,858",https://coinmarketcap.com/currencies/chiliz/?period=7d,-73915.92
Gala,$0.02403,0.19,-2.11,-0.72,"$519,746,618","$38,797,286","21,624,341,073",https://coinmarketcap.com/currencies/gala/?period=7d,-155729.32
Klaytn,$0.1638,-0.26,-0.98,-5.4,"$515,077,103","$7,917,163","3,145,170,286",https://coinmarketcap.com/currencies/klaytn/?period=7d,-1698056.38
Compound,$65.32,-0.21,-1.35,12.72,"$506,746,447","$94,447,962","7,756,495",https://coinmarketcap.com/currencies/compound/?period=7d,986805.7
IOTA,$0.1794,0.02,-0.16,-2.08,"$498,542,478","$7,585,082","2,779,530,283",https://coinmarketcap.com/currencies/iota/?period=7d,-578020.26
PAX Gold,"$1,940.59",-0.21,1.1,2.49,"$490,429,232","$9,581,032","252,721",https://coinmarketcap.com/currencies/pax-gold/?period=7d,6292.77
GMX,$55.00,0.04,-0.84,-1.21,"$487,498,574","$7,179,966","8,864,925",https://coinmarketcap.com/currencies/gmx/?period=7d,-107249.69
Terra Classic,$0.00008376,0.34,1.25,1.83,"$487,375,484","$19,766,379","5,818,696,923,232",https://coinmarketcap.com/currencies/terra-luna/?period=7d,106482.47
Tether Gold,"$1,952.51",0.09,1.03,1.8,"$481,339,697","$6,396,890","246,524",https://coinmarketcap.com/currencies/tether-gold/?period=7d,4437.42
Zcash,$28.84,0.16,0.32,-9.25,"$470,979,108","$18,344,725","16,328,269",https://coinmarketcap.com/currencies/zcash/?period=7d,-1510595.27
Frax Share,$6.22,0.24,-0.72,-0.72,"$453,319,413","$14,877,591","72,881,525",https://coinmarketcap.com/currencies/frax-share/?period=7d,-524742.73
BitTorrent(New),$0.0...04657,-0.69,-2.15,-3.27,"$443,076,130","$12,297,885","951,421,714,286,000",https://coinmarketcap.com/currencies/bittorrent-new/?period=7d,-311114.22
XDC Network,$0.03182,0.53,2.84,-0.4,"$440,772,526","$1,692,223","13,849,345,122",https://coinmarketcap.com/currencies/xinfin/?period=7d,-55408.24
Huobi Token,$2.71,-0.31,-0.65,-0.52,"$439,097,342","$9,693,142","162,233,844",https://coinmarketcap.com/currencies/huobi-token/?period=7d,-842548.41
Sui,$0.6519,0.06,-0.07,-1.18,"$426,707,428","$92,011,657","654,546,806",https://coinmarketcap.com/currencies/sui/?period=7d,-77238.04
GateToken,$4.29,-0.02,0.09,-1.14,"$419,136,532","$897,609","97,703,326",https://coinmarketcap.com/currencies/gatetoken/?period=7d,-1113789.39
Mina,$0.4443,-0.25,-1.91,-8.13,"$414,431,005","$16,640,783","932,763,734",https://coinmarketcap.com/currencies/mina/?period=7d,-758344.38
Casper,$0.03664,-0.28,-0.85,-4.08,"$409,111,246","$3,296,601","11,166,150,991",https://coinmarketcap.com/currencies/casper/?period=7d,-455560.56
Dash,$33.36,0.08,-0.27,-4.68,"$379,125,693","$38,444,274","11,362,955",https://coinmarketcap.com/currencies/dash/?period=7d,-531866.98
WOO Network,$0.2167,-0.25,-2.31,-9.21,"$373,493,634","$10,022,595","1,723,337,665",https://coinmarketcap.com/currencies/wootrade/?period=7d,-1587391.03
Nexo,$0.6254,0.19,1.19,-1.31,"$349,052,185","$3,095,449","560,000,011",https://coinmarketcap.com/currencies/nexo/?period=7d,-73114.54
Trust Wallet Token,$0.8261,-0.01,-1.17,-3.91,"$344,195,572","$7,940,557","416,649,900",https://coinmarketcap.com/currencies/trust-wallet-token/?period=7d,-162910.63
Zilliqa,$0.02077,0.31,-0.47,-5.13,"$329,544,408","$19,896,396","15,867,699,447",https://coinmarketcap.com/currencies/zilliqa/?period=7d,-813944.54
THORChain,$0.9777,0.13,-0.91,-5.38,"$326,466,004","$19,610,860","333,904,557",https://coinmarketcap.com/currencies/thorchain/?period=7d,-179644.79
Convex Finance,$4.00,-0.07,-1.11,-2.11,"$315,372,030","$3,983,300","78,801,362",https://coinmarketcap.com/currencies/convex-finance/?period=7d,-1663587.46
PancakeSwap,$1.48,1.16,-1.2,-1.9,"$308,975,524","$19,283,167","208,225,118",https://coinmarketcap.com/currencies/pancakeswap/?period=7d,-3966577.67
1inch Network,$0.3233,-0.25,4.0,2.81,"$306,389,030","$49,521,080","947,781,921",https://coinmarketcap.com/currencies/1inch/?period=7d,266301.63
Loopring,$0.2271,0.44,0.57,-2.77,"$302,443,770","$12,460,036","1,331,523,612",https://coinmarketcap.com/currencies/loopring/?period=7d,-368898.83
